Year,% Labor Force Employed,Capital Stock ($ mill),Col 1 * Col 2,Share of Property in Income,Private Non-Farm GNP per manhour,Employed Capital per Manhour,dA/A,A(t)
1909,91.1,146142.00,133135.36,0.335,0.623,2.060,-0.017,1.000
1910,92.8,150038.00,139235.26,0.330,0.616,2.100,0.039,0.983
1911,90.6,156335.00,141639.51,0.335,0.647,2.170,0.002,1.021
1912,93.0,159971.00,148773.03,0.330,0.652,2.210,0.040,1.023
1913,91.8,164504.00,151014.67,0.334,0.680,2.230,0.007,1.064
1914,83.6,171513.00,143384.87,0.325,0.682,2.200,-0.028,1.071
1915,84.5,175371.00,148188.50,0.344,0.669,2.260,0.034,1.041
1916,93.7,178351.00,167114.89,0.358,0.700,2.340,-0.010,1.076
1917,94.0,182263.00,171327.22,0.370,0.679,2.210,0.072,1.065
1918,94.5,186679.00,176411.66,0.342,0.729,2.220,0.013,1.142
1919,93.1,189977.00,176868.59,0.354,0.767,2.470,-0.076,1.157
1920,92.8,194802.00,180776.26,0.319,0.721,2.580,0.072,1.069
1921,76.9,201491.00,154946.58,0.369,0.770,2.550,0.032,1.146
1922,81.7,204324.00,166932.71,0.339,0.788,2.490,0.011,1.183
1923,92.1,209964.00,193376.84,0.337,0.809,2.610,0.016,1.196
1924,88.0,222113.00,195459.44,0.330,0.836,2.740,0.032,1.215
1925,91.1,231772.00,211144.29,0.336,0.872,2.810,-0.010,1.254
1926,92.5,244611.00,226265.18,0.327,0.869,2.870,-0.005,1.241
1927,90.0,259142.00,233227.80,0.323,0.871,2.930,-0.007,1.235
1928,90.0,271089.00,243980.10,0.338,0.874,3.020,0.020,1.226
1929,92.5,279691.00,258714.18,0.332,0.895,3.060,-0.043,1.251
1930,88.1,289291.00,254865.37,0.347,0.880,3.300,0.024,1.197
1931,78.2,289056.00,226041.79,0.325,0.904,3.330,0.023,1.226
1932,67.9,282731.00,191974.35,0.397,0.879,3.280,0.011,1.198
1933,66.5,270676.00,179999.54,0.362,0.869,3.100,0.072,1.211
1934,70.9,262370.00,186020.33,0.355,0.921,3.000,0.039,1.298
1935,73.0,257810.00,188201.30,0.351,0.943,2.870,0.059,1.349
1936,77.3,254875.00,197018.38,0.357,0.982,2.720,-0.010,1.429
1937,81.0,257076.00,208231.56,0.340,0.971,2.710,0.021,1.415
1938,74.7,259789.00,194062.38,0.331,1.000,2.780,0.048,1.445
1939,77.2,257314.00,198646.41,0.347,1.034,2.660,0.050,1.514
1940,80.6,258048.00,207986.69,0.357,1.082,2.630,0.044,1.590
1941,86.8,262940.00,228231.92,0.377,1.122,2.580,0.003,1.660
1942,93.6,270063.00,252778.97,0.356,1.136,2.640,0.016,1.665
1943,97.4,269761.00,262747.21,0.342,1.180,2.620,0.071,1.692
1944,98.4,265483.00,261235.27,0.332,1.265,2.630,0.021,1.812
1945,96.5,261472.00,252320.48,0.314,1.296,2.660,-0.044,1.850
1946,94.8,258051.00,244632.35,0.312,1.215,2.500,-0.017,1.769
1947,954.0,268845.00,2564781.30,0.327,1.194,2.500,0.016,1.739
1948,95.7,276476.00,264587.53,0.332,1.221,2.550,0.024,1.767
1949,93.0,289360.00,269104.80,0.326,1.275,2.700,,1.809
,,,,,,,,
,,,,,,,,
,,,,,,,,
