,SAMPLE,SERIAL,PERNUM,wage,sex,age,bpl,hisp,speakeng,asian,black,white,unempl,typhrs,degr,edu,grad,opl,inclvl,natage,yrusa,ageimmig,selfemp
3,202201,164,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
8,202201,258,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
12,202201,351,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
19,202201,901,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
20,202201,927,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
34,202201,1525,1,3000,1,19,210,1,3,0,0,0,1,25,0,12,0,1,1,18,17,2,0
35,202201,1537,1,3000,1,19,210,1,3,0,0,0,1,25,0,13,0,1,1,18,17,2,0
44,202201,2066,1,600,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
53,202201,2495,1,500,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
60,202201,2723,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
64,202201,2884,1,3000,1,19,210,1,3,0,0,0,1,25,0,13,0,1,1,18,17,2,0
67,202201,2965,1,580,1,18,200,1,4,0,0,1,1,10,0,12,0,1,1,6,10,8,0
78,202201,3252,2,109000,1,37,150,1,3,0,1,0,0,36,1,18,1,1,1,15,28,9,0
85,202201,3335,1,50000,0,29,300,0,4,0,0,1,0,9,1,16,0,1,1,7,21,8,0
96,202201,3557,2,52000,0,36,300,0,4,0,0,0,0,34,1,18,1,1,1,15,24,12,0
97,202201,3602,1,64000,0,31,300,0,4,0,0,0,0,40,1,18,1,1,1,13,21,10,0
110,202201,3843,3,24400,1,54,210,1,6,0,0,0,0,40,1,16,0,1,1,27,51,3,0
129,202201,4068,1,100000,0,41,260,0,3,0,1,0,0,40,1,18,1,0,1,12,25,16,0
144,202201,4312,3,14400,0,18,300,0,4,0,0,0,0,30,0,11,0,1,1,4,7,11,0
151,202201,4409,1,48000,0,55,453,0,3,0,0,1,0,50,0,12,0,1,0,56,55,0,0
173,202201,4654,1,0,0,45,200,0,6,0,0,1,0,55,0,7,0,1,1,5,29,16,1
185,202201,4842,1,24000,1,31,260,1,4,0,1,0,0,40,0,12,0,0,1,3,15,16,0
190,202201,4894,1,77000,0,38,210,0,4,0,1,1,0,40,0,12,0,1,1,17,28,10,0
213,202201,5396,1,85000,1,51,411,1,3,0,0,1,0,48,1,16,0,0,0,31,44,7,0
218,202201,5463,1,54000,0,51,438,0,4,0,0,1,0,40,0,12,0,1,0,46,45,6,0
219,202201,5496,1,73000,0,24,599,0,4,0,0,1,0,40,1,16,0,1,1,14,19,5,0
234,202201,5726,2,32000,1,40,453,1,4,0,0,1,0,40,0,12,0,1,0,34,33,7,0
237,202201,5754,3,2100,1,27,150,1,3,0,1,0,0,40,1,18,1,1,1,4,22,5,0
238,202201,5754,4,2500,1,25,150,1,3,0,1,0,0,15,1,16,0,1,1,4,22,3,0
243,202201,5920,2,6000,1,67,250,1,4,0,0,1,0,40,0,14,0,1,1,43,60,7,0
264,202201,6239,1,45000,1,54,410,1,3,0,0,1,0,40,1,16,0,0,0,30,52,2,0
274,202201,6372,1,30000,0,36,200,0,5,0,0,0,0,40,0,9,0,1,1,4,26,10,0
275,202201,6372,2,2000,1,35,200,1,4,0,0,0,0,32,0,12,0,1,1,23,32,3,0
290,202201,6599,1,80000,1,62,453,1,3,0,0,1,0,40,0,12,0,1,0,59,59,3,0
291,202201,6623,1,0,0,50,453,0,3,0,0,1,0,50,0,12,0,1,0,47,46,4,1
303,202201,6860,1,60000,0,59,453,0,4,0,0,1,0,80,0,13,0,1,0,43,48,11,1
308,202201,6958,3,13000,0,19,453,0,3,0,0,1,0,40,0,12,0,1,0,20,19,0,0
311,202201,6984,1,40000,0,27,300,0,3,0,0,1,0,40,0,13,0,1,1,22,24,3,0
319,202201,7119,1,94000,0,36,500,0,4,1,0,0,0,40,0,12,0,1,1,19,28,8,0
320,202201,7119,2,22500,1,34,500,1,6,1,0,0,0,40,0,12,0,1,1,15,23,11,0
331,202201,7294,2,105000,1,51,515,1,3,1,0,0,0,60,1,16,0,1,1,41,50,1,0
334,202201,7369,2,250000,0,61,200,0,3,0,0,1,0,40,1,16,0,1,1,38,54,7,0
336,202201,7404,1,63000,0,28,300,0,4,0,0,1,0,40,0,13,0,1,1,12,20,8,0
342,202201,7450,1,150000,0,38,502,0,4,1,0,0,0,48,1,16,0,1,0,12,23,15,0
344,202201,7484,1,59000,1,62,453,1,3,0,0,1,0,28,0,14,0,1,0,63,59,3,0
347,202201,7538,2,50000,0,41,200,0,4,0,0,0,0,50,0,12,0,1,1,23,24,17,0
355,202201,7631,2,35000,0,43,260,0,4,0,1,0,0,60,1,16,0,0,1,7,38,5,0
360,202201,7731,2,20000,0,71,453,0,4,0,0,1,0,16,1,18,1,1,0,23,68,3,0
362,202201,7747,2,65000,0,37,300,0,4,0,0,1,0,90,1,16,0,1,1,3,21,16,0
371,202201,7934,1,30000,1,27,465,1,4,0,0,1,0,30,0,12,0,1,1,13,12,15,0
376,202201,7988,2,452000,0,59,502,0,3,1,0,0,0,40,1,18,1,1,0,43,44,15,0
381,202201,8062,1,27000,0,37,200,0,5,0,0,0,0,35,0,0,0,1,1,3,21,16,0
386,202201,8114,1,250000,0,36,260,0,3,0,1,0,0,50,0,13,0,0,1,32,31,5,0
391,202201,8140,1,46000,1,31,200,1,4,0,0,0,0,45,1,18,1,1,1,31,30,1,0
397,202201,8239,2,237000,1,62,502,1,4,1,0,0,0,50,1,16,0,1,0,43,47,15,0
